sentence;label
Встречает первого гостя с отработанной улыбкой и жестом приглашения;1
Говорит с Анной Павловной, не меняя позы и не вслушиваясь;1
Начал говорить громко и размахивать руками;1
Рассказывая анекдот, засмеялся первый, не дожидаясь реакции;1
Слушая виконта, не шевелилась и смотрела в одну точку;2
Поправила складку на платье и обвела зал взглядом;1
Лицо покрылось красными пятнами при разговоре о женихе;2
Вошёл быстрыми шагами и резко сел за стол;1
Стукнул тростью об пол, требуя тишины;1
Читая письмо Жюли, вздохнула и перекрестилась;1
Увидев князя Андрея, тотчас приняла красивую, томную позу;1
Разговаривая с женой, закрыл глаза и опустил голову;1
Приподняла губку и сделала лицо белочки;1
Зевнул и перекрестил рот;2
Тяжело вздохнул, глядя на разутых солдат;1
Краснея и заикаясь, объяснял пропажу денег;2
В гневе стукнул кулаком по столу;1
Воруя кошелёк, не поднимал глаз, лицо побледнело;2
Бросил кошелёк Телянину и выбежал из комнаты, хлопнув дверью;1
Сидя без сапог, смущённо улыбнулся Багратиону;1
Зажмуривал глаза и втягивал голову в плечи;2
Покусывал трубку, отчего искры летели во все стороны;2
Получив приказ отходить, отвернулся и ничего не ответил;1
Схватился за грудь и сел на землю;2
Сидел на коне с каменным лицом;1
Увидев Багратиона, подтянулись и перестали перешёптываться;1
Пьёт и смотрит в лицо Пьеру;1
Стоит, расставив ноги и тяжело дыша;2
Прищурился и стал целиться;1
Лицо бледно, челюсть тряслась;2
Медленно отошёл и стал боком;1
Шёл, спотыкаясь;2
Шёл, отвернувшись, рука за спиной;1
Шёл с вытянутой рукой, боясь убить себя;1
Вздрогнул, опустил пистолет, шатаясь;2
Бледность, закрытые глаза, кровь;2
Рот искривлён улыбкой, стон;2
Ухватившись рукой за траву;2
Крик «К барьеру!»;1
Схватился за голову, вслух приговаривая;1
Приподняла голову и пошла по лестнице;1
Оправляла платье перед зеркалом, не видя никого вокруг;2
Сердце билось так сильно, что отдавало в виски;2
Стоял, облокотившись на косяк, и молча глядел на толпу;1
Указал на Наташу и кивнул Андрею;1
Подняла на Пьера испуганные глаза;1
Лицо осветилось счастливой улыбкой;1
Положила руку на плечо Пьера и пошла вальсировать;1
Не сводил с неё глаз;1
Поправляя розу у корсажа, усаживалась подле него;2
"Стояла опустив руки; лицо бледно, глаза потуплены";1
Грудь поднималась чуть заметно;2
Подошёл к ней, низко кланяясь;1
Вспыхнула и, нахмурившись, опустила глаза;2
Тяжело дышала, видимо устав от танцев;2
Лицо покрылось лёгким румянцем;2
Глядя на Наташу, улыбнулся своей самоуверенной улыбкой;1
Взял Наташу за талию, сильно прижав к себе;1
"Глядя на Элен, замерла; испуганный взгляд переходил с неё на отца";1
Прощаясь с сыном, сунул ему конверт и отвернулся;1
Обняв отца, вышел из дома, не оглядываясь;1
В родах кричала «Не хочу!» ужасным голосом;2
Губы запеклись, глаза остекленели;2
Войдя к жене, увидел её страдальческую улыбку и услышал детский плач;2
Сидел, прислонившись к стене, и бессмысленно улыбался;2
Умирая, сел у костра, обхватив колени руками;2
Глядя на казнь, не мог отвести глаз;2
Хлопнул Пьера по плечу и подмигнул;1
Отвечая французу, засмеялся странным смехом;2
Увидев Николая Ростова, выпрямилась в кресле;1
Слёзы текли по щекам, но она не вытирала их;2
Проигравшись, вернулся домой и сел к клавикордам;2
Взял несколько аккордов и замер, уронив голову на руки;1
Запела громче и веселее, чтобы отвлечь брата;1
После объяснения с Николаем выбежала из комнаты в слезах;2
Танцуя «Данилу Купора», топал и громко смеялся;1
Сидел на лавке и постукивал пальцами по столу;2
При встрече с Наташей в театре навёл на неё лорнет;1
Оглянулась и, встретившись с ним глазами, покраснела;2
На вечере у дипломата низко наклонилась, облокотившись на стол;1
Швырнул тарелку на пол;1
Взяла его за руку, но он выдернул руку;1
Перед смертью на привале завернулся в шинель и затих;2
Освобождённый из плена, плакал, обнимая лошадь;2
Накануне Бородина резко прервал разговор и отошёл к окну;1
Сидел, распустив мундир, и молча слушал;2
Открыл единственный зрячий глаз и тяжело посмотрел на генералов;1
Перед Бородино вышел из палатки и махнул рукой;1
Теребил перчатку, слушая донесения;2
Надели чистые белые рубахи;1
